5ht1d_rat,ackr3_human,ccr1_human,ccr1_mouse,ccr2_human,ccr2_mouse,ccr3_human,ccr3_mouse,ccr3_rat,ccr4_human,ccr5_human,ccr5_mouse,ccr6_human,ccr8_human,ccr9_human,ccrl2_human,cx3c1_human,cxcr1_human,cxcr2_human,cxcr3_human,cxcr3_mouse,cxcr3_rat,cxcr4_human,cxcr5_human,q9jly8_rat,ChEMBL_ID,Smiles
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105606,C=CCN(C1CCN(CC1)CCC(CN2C=NC=N2)C3=CC=CC=C3)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-]
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105659,CC(CCN1CCC(CC1)N(CC=C)C(=O)OCC2=CC=CC=C2)(CN3C=NC4=CC=CC=C43)C5=CC=CC=C5
,,0.0,,,,,,,0.0,,1.0,,,,,,,0.0,,,,,,,CHEMBL105779,CCOC(=O)CON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=CC=C3C)C)C)C4=CC=C(C=C4)Br
,,,0.0,,,0.0,,,,1.0,1.0,,,,,,0.0,0.0,,,,,,,CHEMBL105784,CC1(CCN(CC1)C(=O)C2=C(C=CC=C2Cl)N)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)Br
,,,,,,0.0,,,,1.0,1.0,,,,,,0.0,,,,,,,,CHEMBL105821,CCON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=CN=C3C)C)C)C4=CC=C(C=C4)Br
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105975,CCN(C1CCN(CC1)CCC(CN2C(=O)C(NC2=O)CC3=CNC4=CC=CC=C43)C5=CC(=CC=C5)Cl)C(=O)OCC6=CC=CC=C6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105987,CN(CC(CCN1CCC(CC1)CCCC2=CC=CC=C2)C3=CC=CC=C3)S(=O)(=O)C4=CC=CS4
,,,,,,0.0,,,,1.0,1.0,,0.0,,,0.0,,0.0,,,,,,,CHEMBL106098,CC1=C(C(=[N+](C=C1)[O-])C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)Br
,,,,,,0.0,,,0.0,,1.0,0.0,,,,0.0,,,,,,0.0,,,CHEMBL106099,CC1=C(C(=[N+](C=C1)[O-])C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)Cl
,,0.0,0.0,,,,,,,1.0,1.0,0.0,,,,0.0,0.0,,,,,,,,CHEMBL106209,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=O)C4=CC=C(C=C4)Br
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL106231,C=CCN(C1CCN(CC1)CCC(CN2C=C3C=CC=CC3=N2)C4=CC=CC=C4)C(=O)OCC5=CC=C(C=C5)[N+](=O)[O-]
,,0.0,,,,0.0,,,0.0,1.0,1.0,0.0,,,,0.0,,0.0,0.0,,,0.0,,,CHEMBL106247,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)CC4=CC=C(C=C4)Br
,,,0.0,,,,,,,1.0,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,,CHEMBL106264,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)CC4=CC=C(C=C4)C5=CC=CC=C5
,,0.0,0.0,,,,,,,1.0,1.0,,0.0,,,,,,0.0,,,0.0,,,CHEMBL106299,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)CC4=CC=C(C=C4)Cl
,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,CHEMBL106369,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)CC4=CC=C(C=C4)OC
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL106381,C1CN(CCC1C2=CC=CC=C2)CCC(CN3C(=O)C(NC3=O)CC4=CNC5=CC=CC=C54)C6=CC(=CC=C6)Cl
,,,,,,0.0,,,0.0,1.0,1.0,,0.0,,,,,0.0,,,,,,,CHEMBL106406,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)CC4=CC=C(C=C4)I
,,0.0,0.0,,,,,,,,1.0,,,,,,0.0,,,,,0.0,,,CHEMBL106468,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NO)C4=CC=C(C=C4)Br
,,,0.0,,,,,,,,1.0,,,,,0.0,0.0,,,,,0.0,,,CHEMBL106507,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOCCO)C4=CC=C(C=C4)Br
,,,,,,,,,,,1.0,,0.0,,,0.0,,,0.0,,,,,,CHEMBL106533,CCON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=C[N+](=C3C)[O-])C)C)C4=CC=C(C=C4)C(F)(F)F
,,,0.0,,,,,,0.0,,1.0,,0.0,,,,0.0,,,,,,,,CHEMBL106558,CCON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=C[N+](=C3C)[O-])C)C)C4=CC=C(C=C4)S(=O)(=O)C
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL106569,CN(CC(CCN1CCC(CC1)CCCC2=CC=CC=C2)C3=CC=CC=C3)S(=O)(=O)C4=CC=C(S4)C5=CC=CC=N5
,,0.0,0.0,,,,,,0.0,1.0,1.0,,,,,,,0.0,0.0,,,0.0,,,CHEMBL106767,CC1=C(C(=CC=C1)O)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)Br
,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,CHEMBL106790,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOCC(=O)NC)C4=CC=C(C=C4)Br
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL106803,C=CCN(C1CCN(CC1)CCC(CN2C=NC3=CC=CC=C32)C4=CC=CC=C4)C(=O)OCC5=CC=C(C=C5)[N+](=O)[O-]
,,,,,,0.0,,,,,1.0,,0.0,,,0.0,,,,,,0.0,,,CHEMBL106813,CC1=C(C(=[N+](C=C1)[O-])C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)OC(F)(F)F
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL106907,CCN(C1CCN(CC1)CCC(C)(CN2C(=O)C(NC2=O)CC3=CNC4=CC=CC=C43)C5=CC=CC=C5)C(=O)OCC6=CC=CC=C6
,,,,,,0.0,,,0.0,1.0,1.0,,,,,0.0,,0.0,0.0,,,,,,CHEMBL106982,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)CC4=CC=C(C=C4)S(=O)(=O)C
,,,,,,,,,,1.0,1.0,,0.0,,,,,0.0,0.0,,,,,,CHEMBL107092,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)CC4=CC=C(C=C4)C(F)(F)F
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL107128,C=CCN(C1CCN(CC1)CCC(CN2C(=O)C(NC2=O)CC3=CNC4=CC=CC=C43)C5=CC(=CC=C5)Cl)C(=O)OCC6=CC=CC=C6
,,,,,,,,,,1.0,1.0,,,,,0.0,,,,,,,,,CHEMBL107154,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=C)C4=CC=C(C=C4)Br
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL107170,C1CN(CCC1CCCC2=CC=CC=C2)CC3CN(CC3C4=CC=CC=C4)S(=O)(=O)C5=CC=C(S5)C6=CC=CC=N6
,,,0.0,,,,,,0.0,,1.0,,,,,,,0.0,0.0,,,,,,CHEMBL107363,CC1=C(C(=CC=C1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOCCOC)C4=CC=C(C=C4)Br
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL107380,CCN1C(C2=CC=CC=C2C1=O)C(C)(CCN3CCC(CC3)N(CC=C)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-])C5=CC=CC=C5
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL107425,C1CN(CCC1(CCCC2=CC=CC=C2)O)CC3CN(CC3C4=CC=CC=C4)S(=O)(=O)C5=CC=C(S5)C6=CC=CC=N6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL107439,CC(CCN1CCC(CC1)N(CC=C)C(=O)OCC2=CC=CC=C2)(CN3C(=O)C(NC3=O)CC4=CNC5=CC=CC=C54)C6=CC(=CC=C6)Cl
,,,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,CHEMBL1075640,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C=C5)C(F)(F)F)F
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077353,CCOC1CC2=C(C1N3CCN(CC3C)C4CC5CN(CC5C4)C(=O)C6=C(N=CN=C6C)C)C=CC(=C2)C(F)(F)F
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077354,CCOC1CC2=C(C1N3CCN(CC3C)C4CC5CN(CC5C4)C(=O)C6=C(C=CN=C6C)C)C=CC(=C2)C(F)(F)F
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077355,CCOC1CC2=C(C1N3CCN(CC3C)C4CC5CN(CC5C4)C(=O)C6=C(C=C(N=C6C)C#N)C)C=CC(=C2)C(F)(F)F
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077358,CCCCC1CN(C(=O)OC12CCN(CC2)C3CC4CN(CC4C3)C(=O)C5=C(N=CN=C5C)C)CC6CCOCC6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077359,CCCCC1CN(C(=O)OC12CCN(CC2)C3CC4CN(CC4C3)C(=O)C5=C(C=C(N=C5C)C#N)C)CC6CCOCC6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077360,CCCCC1CN(C(=O)OC12CCN(CC2)C3(CC4CN(CC4C3)C(=O)C5=C(N=CN=C5C)C)C)CC6CCOCC6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077361,CCCCC1CN(C(=O)OC12CCN(CC2)C3(CC4CN(CC4C3)C(=O)C5=C(C=C(N=C5C)C#N)C)C)CC6CCOCC6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077362,CCCCC1CN(C(=O)OC12CCN(CC2)C3CC4CN(CC4C3)C(=O)C5=C(N=CN=C5C)C)CC6CCC(CC6)OCC
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077363,CCCCC1CN(C(=O)OC12CCN(CC2)C3CC4CN(CC4C3)C(=O)C5=C(C=CN=C5C)C)CC6CCC(CC6)OCC
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077364,CCCCC1CN(C(=O)OC12CCN(CC2)C3CC4CN(CC4C3)C(=O)C5=C(N=CN=C5C)C)CC6CCC(CC6)OC(C)C
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077365,CCCCC1CN(C(=O)OC12CCN(CC2)C3CC4CN(CC4C3)C(=O)C5=C(N=CN=C5C)C)CC6CCC(CC6)OC7CC7
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL107749,CC(CCN1CCC(CC1)C2=CC=CC=C2)(CN3C(=O)C(NC3=O)CC4=CNC5=CC=CC=C54)C6=CC(=CC=C6)Cl
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL107750,C=CCN(C1CCN(CC1)CCC(CN2C=C(N=C2)CC#N)C3=CC=CC=C3)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-]
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL1077779,CCCCC1C2(CCN(CC2)C3(CCN(CC3)C(=O)C4=C(C=CC=C4C)C)C)OC(=O)N1CC5CCCCC5
,,,,0.0,,,,,,0.0,,,,,,,,,1.0,,,,,,CHEMBL1077807,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CN5CCN(CC5)CCC(F)(F)F
,,,,0.0,,,,,,0.0,,,0.0,,,,,,1.0,,,,,,CHEMBL1077808,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=NC6=C(N5)C=C(C=C6)C(F)(F)F
,,,,0.0,,0.0,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077809,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CN5C=C(N=C5)C(F)(F)F
,,,,,,0.0,,,,0.0,,,,,,,,,1.0,,,,,,CHEMBL1077810,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=NC=C(C=C5)C(F)(F)F
,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077811,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CCC5=CC=C(C=C5)C(F)(F)F
,,,,,,0.0,,,,,,,0.0,,,,,,1.0,,,,,,CHEMBL1077812,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=CC=C5)C(F)(F)F
