ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL220801;ccr3_human;Human;No;1;Funct;8.16;8.16;8.16;p(-log);456;10;3;5;3.5;CC(=O)C1=CC(=CC=C1)NC(=O)NCCCC2CC(CCN2CCO)CC3=CC=C(C=C3)F
CHEMBL2208416;ccr3_human;Human;No;1;Funct;7.00;7.00;7.00;p(-log);493;9;2;5;5.0;C1CC(C1)C(=O)NC2=CC=CC=C2OCC(CN3CCC(CC3)OC4=CC(=C(C=C4)Cl)Cl)O
CHEMBL2208416;ccr1_human;Human;No;1;Funct;7.80;7.80;7.80;p(-log);493;9;2;5;5.0;C1CC(C1)C(=O)NC2=CC=CC=C2OCC(CN3CCC(CC3)OC4=CC(=C(C=C4)Cl)Cl)O
CHEMBL221639;ccr8_human;Human;No;1;Funct;7.70;7.70;7.70;p(-log);498;7;2;6;4.0;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC(=CC=C4)F
CHEMBL221978;ccr8_human;Human;No;1;Funct;7.23;7.23;7.23;p(-log);498;7;2;6;4.0;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC=C(C=C4)F
CHEMBL220797;cxcr2_human;Human;No;1;Funct;8.05;8.05;8.05;p(-log);412;6;3;7;3.4;CN(C)S(=O)(=O)C1=C(C=CC(=C1O)NC(=NC2=CC=CC=C2F)NC#N)Cl
CHEMBL220797;cxcr1_human;Human;No;1;Funct;5.81;5.81;5.81;p(-log);412;6;3;7;3.4;CN(C)S(=O)(=O)C1=C(C=CC(=C1O)NC(=NC2=CC=CC=C2F)NC#N)Cl
CHEMBL2204255;ccr2_human;Human;No;1;Funct;5.28;5.28;5.28;p(-log);480;6;3;8;1.4;CN1C=CN=C1C2(CCC(CC2)N3CC(C3)NC(=O)CNC(=O)C4=CC(=CC=C4)C(F)(F)F)O
CHEMBL2180549;ccr1_human;Human;No;1;Funct;6.28;6.28;6.28;p(-log);415;6;2;3;3.8;CCCC(C(=O)N1CCC(CC1)(C2=CC=C(C=C2)Cl)O)NC(=O)C3=CC=CC=C3
CHEMBL218806;cxcr4_human;Human;Yes;1;Funct;8.52;8.52;8.52;p(-log);744;12;9;8;0.2;CN1C(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C1=O)CCCN=C(N)N)CC2=CC3=CC=CC=C3C=C2)CC4=CC=C(C=C4)O)CCCN=C(N)N
CHEMBL219096;cxcr4_human;Human;Yes;1;Funct;6.89;6.89;6.89;p(-log);744;12;9;8;0.2;CN1C(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C1=O)CCCN=C(N)N)CCCN=C(N)N)CC2=CC3=CC=CC=C3C=C2)CC4=CC=C(C=C4)O
CHEMBL220652;ccr8_human;Human;No;1;Funct;8.12;8.12;8.12;p(-log);522;9;2;5;4.7;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C(CC)C4=CC=CC=C4
CHEMBL2205715;cxcr3_human;Human;No;1;Funct;5.60;5.60;5.60;p(-log);381;4;1;1;5.3;C1C2CC3CC1CC(C2)C3CNCC4=CC=C(C=C4)I
CHEMBL220703;ccr8_human;Human;No;1;Funct;7.95;7.95;7.95;p(-log);495;7;3;6;2.4;CC1=CC=CC=C1C(=O)NC2=CC=C(C3=CC=CC=C32)S(=O)(=O)NC4CCN(CC4)C(=O)CCN
CHEMBL2207283;ccr3_human;Human;No;1;Funct;9.00;9.00;9.00;p(-log);582;8;3;7;2.8;CC1=C(C=CC(=C1Cl)OC2CCN(CC2)CC(CNC(=O)C3=CNC(=O)C4=C3C=C(C=C4)S(=O)(=O)C)O)Cl
CHEMBL2205801;ccr8_human;Human;Yes;1;Funct;4.82;4.82;4.82;p(-log);236;2;0;4;1.4;C1=CC2=C(C=CN=C2C3=NC=CC(=C31)C=O)C=O
CHEMBL2205801;ccr5_human;Human;Yes;1;Funct;5.00;5.00;5.00;p(-log);236;2;0;4;1.4;C1=CC2=C(C=CN=C2C3=NC=CC(=C31)C=O)C=O
CHEMBL2205801;ccr1_human;Human;Yes;1;Funct;5.30;5.30;5.30;p(-log);236;2;0;4;1.4;C1=CC2=C(C=CN=C2C3=NC=CC(=C31)C=O)C=O
CHEMBL2204253;ccr2_human;Human;No;2;Funct;7.37;7.47;7.57;p(-log);547;8;3;9;3.4;C1CC(C1)OC2=NC=C(C=C2)C3(CCC(CC3)N4CC(C4)NC(=O)CNC(=O)C5=CC(=CC=C5)C(F)(F)F)O
CHEMBL221865;ccr8_human;Human;No;1;Funct;9.16;9.16;9.16;p(-log);481;5;3;5;3.2;CC1=CC=CC=C1C(=O)NC2=CC=C(C3=CC=CC=C32)S(=O)(=O)NC4CCN(CC4)C(=O)NC
CHEMBL2207277;ccr3_human;Human;No;1;Funct;8.20;8.20;8.20;p(-log);548;8;3;7;2.2;CC1=C(C=CC(=C1)Cl)OC2CCN(CC2)CC(CNC(=O)C3=CNC(=O)C4=C3C=C(C=C4)S(=O)(=O)C)O
CHEMBL2208434;ccr3_human;Human;No;1;Funct;8.10;8.10;8.10;p(-log);490;7;3;5;3.2;C1CN(CCC1OC2=CC(=C(C=C2)Cl)Cl)CC(CNC(=O)C3=CC(=O)NC4=CC=CC=C43)O
CHEMBL2180194;ccr1_human;Human;No;1;Funct;6.98;6.98;6.98;p(-log);441;7;1;2;5.6;CC1=CC=C(C=C1)CCC(=O)NC(C(C)C)C(=O)N2CCC(CC2)C3=CC=C(C=C3)Cl
CHEMBL2180525;ccr1_human;Human;No;1;Funct;7.50;7.50;7.50;p(-log);379;6;1;2;4.6;CC(C)CC(=O)NC(C(C)C)C(=O)N1CCC(CC1)C2=CC=C(C=C2)Cl
